Timestamp,CAN ID,Length,Data
2025-04-11 16:47:35.053346,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:36.715477,0x551,8,0x0 0x0 0x80 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:36.768897,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:36.822546,0x540,8,0x2 0x0 0x0 0x0 0x11 0x0 0x0 0x9B
2025-04-11 16:47:36.871793,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x45
2025-04-11 16:47:36.924434,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:36.977681,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:37.030939,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:37.080659,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:37.133317,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:37.186626,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:37.239916,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:37.293399,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:37.346206,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:37.399553,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:37.452641,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:37.506125,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:37.559152,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:37.612458,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:37.665861,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:37.718908,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:37.768022,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x46
2025-04-11 16:47:37.821326,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:37.874513,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:37.927885,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:37.976968,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:38.030090,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:38.083371,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:38.136730,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:38.185834,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:38.239168,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:38.292530,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:38.346202,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:38.398870,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:38.451966,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:38.505379,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:38.558594,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:38.611767,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:38.664930,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x47
2025-04-11 16:47:38.718306,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:38.771636,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x47
2025-04-11 16:47:38.820538,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:38.873896,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:38.927352,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:38.976694,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:39.029691,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:39.082743,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:39.136188,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:39.189899,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:39.242437,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:39.295693,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:39.349069,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:39.398454,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:39.451602,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:39.504548,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:39.558025,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:39.611604,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:39.664381,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x48
2025-04-11 16:47:39.717804,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:39.771008,0x541,8,0x2 0x0 0x0 0x0 0x0 0x0 0x2 0x48
2025-04-11 16:47:39.824189,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:39.873109,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:39.926347,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:39.980409,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:40.029048,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:40.082222,0x541,8,0x4 0x0 0x0 0x0 0x0 0x0 0x0 0x0
2025-04-11 16:47:40.135459,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
2025-04-11 16:47:40.188677,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x24
2025-04-11 16:47:40.242501,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x44
2025-04-11 16:47:40.295115,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x64
2025-04-11 16:47:40.348279,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0x84
2025-04-11 16:47:40.401551,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xA4
2025-04-11 16:47:40.454949,0x552,8,0x64 0x0 0x0 0x0 0x0 0x0 0x0 0xC4
